HOXC4
CFAP126
HEXIM1
RAG1
TBC1D17
SMCP
GTF2H1
ZNF653
VN1R5
F2RL3
CEACAM4
PLLP
AHCTF1
U2SURP
OR52E6
PSMB4
RSAD1
F13B
UBL5
DCUN1D1
DBNDD1
PRKRA
DHX57
ZNF496
WDR11
SERP2
S1PR2
ASS1
ATRN
HDDC2
CRKL
CASP3
TBP
RXFP2
ZSWIM7
WDR41
AP2B1
LIAS
FXR2
FKBP1B
SLC25A30
ADAMTS2
ME2
TADA1
ZNF841
PACSIN3
GDPGP1
ZNF333
C2CD4A
RXRB
USP14
CBX1
ARL11
XXYLT1
OR5B2
NECAB2
WNT3A
GPD1
NDP
CMTR1
FAM120C
SAA1
SSBP4
STS
RIT2
SUSD5
TMEM164
UBA3
HEATR3
OR2H1
FBXO5
NTRK2
REN
APC
ANGPTL3
ADRM1
RNF40
ZSWIM2
CXCL9
BOLL
WDR70
RSBN1
ZNF846
SERPING1
DOCK9
IKZF2
BBIP1
NMT2
CISD2
SDC4
PHF3
NEDD1
HDAC8
PSMB1
CLEC3A
NCAM2
CNN1
RHOBTB3
RPS14
ITGA1
SLA2
LDB2
TNNC1
DCLK1
RASGRF2
CNTFR
ELAC1
FHIT
RPN1
ABCA13
DAZAP2
GJC2
FEZ2
PCYOX1L
BCL7A
CARD17
NKAIN1
TDRD6
SLC30A9
ISYNA1
SPINK1
FGF2
GDF5
ST8SIA2
CLDN34
ENTPD5
NFE2L3
OCLN
VPS51
CHRD
RECQL5
ELL
STX17
RABEPK
LEMD1
IDUA
LGALS9
NUDT16L1
ALPL
GRPEL2
CNEP1R1
FAM161B
DAG1
GPT2
ITLN2
PSMA3
SLC25A37
SUB1
CRYBA1
PDE1B
GTF3C4
FKBP5
SCML1
BAMBI
NPIPA1
ATF1
TLK1
CAPNS2
SGK1
ATXN1
ELAVL4
FANCA
SUN2
PPP1R17
RB1CC1
UBE2E3
RWDD2A
KCNJ4
SH2D6
ITIH3
SENP6
AGPAT5
EXOSC10
ITM2B
USP54
NDUFB4
DGKH
PAMR1
ZDHHC20
EPB41L1
ARMT1
AFAP1L1
AKAP6
PCLO
SRRD
RAB3IL1
RCVRN
PAPPA2
CNDP2
DDX11
DOCK8
MED6
FAM117A
RPL11
PADI3
HNRNPK
RPRD2
ZNF562
CAMK2D
CLPSL2
DDX31
PIAS1
SYN2
PPP6C
FPR1
PDGFRA
CCDC152
SFXN2
PDZRN3
CEP164
IFNW1
DAB2
GAS8
LMX1B
MAF
MGAT4D
ZP3
SAMSN1
POTEF
ATP6V1A
ZNF106
PLA2R1
RNF144A
POGK
SIN3B
PON2
HOXB13
MDFIC
ZBTB44
RAB34
NARR
SLC17A8
CNTNAP3
PROM2
ARL6IP6
TLR3
RNF123
HPS4
ADAM22
COLCA2
ARV1
SLC38A9
JPH2
EIF4G3
MOB1A
CREBZF
PRKG1
MRPS27
MOB1B
CYP2W1
SOCS3
SCN1A
PHF8
ABI3
SFTPB
RFTN2
ST18
C1QL2
ARID4A
MEP1A
RIC3
SRP14
SERPINB1
PPIF
CLCN2
NOXRED1
SEMA4B
RTN4
TCHHL1
ANHX
CLCNKA
KCNJ16
BSN
MOCS3
SMAD3
TMEM170A
CBLN2
AMBRA1
DZIP1L
SMU1
PRR20B
SERPINB7
RAD51D
MKNK1
UBQLN1
CELA2A
KRTAP6-1
HTRA1
ZNF200
OR51T1
CACNG6
IGF2
AP3M1
NDC1
SNAP23
GRIA4
NNT
CPSF3
IP6K1
FOXJ1
NUP210
THADA
EIF6
ATP8B4
BAP1
ERN1
PTCD2
PDGFC
MFSD8
ZBTB34
CYP3A4
ACSL6
ACOT4
DIP2B
NUP93
ATXN10
REP15
TRIB1
SUFU
LIN52
PGRMC1
HOXC10
UBB
SLC18A3
NUFIP2
SFRP4
PACRGL
PDLIM1
MSANTD4
LRRC72
ECHDC2
PCP4L1
KCTD5
DLX2
CHKA
KLB
SH2D2A
POLR1B
KCNK3
PKDREJ
HDAC5
TCF15
DENND5B
SH2D3A
HTR1E
ZNF561
GLRA1
CDK2AP1
SCRN1
ZNF605
CCDC89
AP1S2
FBXO32
HSD17B12
DMKN
KIF24
PRR29
GPR132
NIPAL3
RHOA
SIRT3
TMUB2
PDCD2
FUT11
RNF135
COTL1
COQ10B
RYR2
SEC24C
HSPBP1
IL5RA
TNFSF9
NF1
MRPS5
XAB2
NUDT2
RAB11B
RBM39
AK2
CLSTN2
LILRA5
DEF8
PTGR2
SLC35A1
LAMA5
GTF2H2
RNASE6
SERPINA5
SLCO1B7
TLX1
TRIM8
SLC39A7
CALML4
CACNA1H
PSMD11
ENOPH1
CTU1
VPS72
BTK
TLR6
ZNF615
DNAJB12
MEF2C
LTV1
MMRN1
PSMD4
GABRB1
DSCC1
ZNF776
CEP170B
SMIM4
TMX2
TOP3A
PRKD3
SPTBN1
TRMT11
BARX1
CLGN
MFHAS1
PLXNB1
DYSF
NAA50
SCAI
NPRL3
HTATIP2
SMAGP
S100A7A
SCAF4
KLRD1
STEAP1B
SLC39A10
FGD6
RAB36
MYH14
RHOC
ACTN2
KAT6A
PIFO
CH25H
GPATCH8
VPS41
FAM149A
SMARCA2
HSPA5
ZMYM1
CHST1
SMAD5
ZNF519
COG4
TTC38
TARDBP
HEPACAM2
CDC42EP2
SLC9B2
HCCS
ICAM3
RGCC
PTGDR
TMEM80
EHBP1L1
ZNF536
CRLS1
NQO2
CRISP2
SNRPN
IL22RA2
HSD17B8
NDRG2
AMPD3
CFH
SPINT1
ATP8A2
CXCR4
PYROXD1
NCF4
NLRP8
ROCK2
OR13C3
SRL
ETS1
SLC35C1
MCFD2
CDH13
HSPA4L
LNX2
PPM1N
MYBL1
KTI12
CORO1C
NUB1
SHOC2
SLIT3
ZNF32
TRPV3
CYTL1
DGKZ
KRTAP19-6
PROP1
FUBP3
OR7G1
PAFAH1B1
CENPBD1
LRRIQ3
TMEM86A
PSAT1
